CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
RI,17/03/2020,419,99,13,5,2
AN,18/03/2020,1008,384,25,23,33
AR,18/03/2020,281,101,14,15,0
AS,18/03/2020,292,61,6,1,4
IB,18/03/2020,169,31,7,2,6
CN,18/03/2020,220,82,23,3,9
CB,18/03/2020,83,40,4,1,10
CM,18/03/2020,801,313,37,42,27
CL,18/03/2020,868,281,54,29,27
CT,18/03/2020,2702,0,33,55,0
CE,18/03/2020,1,0,0,0,0
VC,18/03/2020,921,274,52,24,19
EX,18/03/2020,241,36,3,8,6
GA,18/03/2020,453,100,15,4,4
MD,18/03/2020,6777,5168,590,498,941
ME,18/03/2020,23,4,0,0,0
MC,18/03/2020,167,36,6,0,1
NC,18/03/2020,482,132,11,4,0
PV,18/03/2020,1190,455,44,53,18
RI,18/03/2020,468,121,15,5,2
AN,19/03/2020,1287,501,38,30,36
AR,19/03/2020,360,127,28,17,0
AS,19/03/2020,344,87,7,2,12
IB,19/03/2020,203,48,10,2,10
CN,19/03/2020,287,115,25,4,9
CB,19/03/2020,144,61,7,1,10
CM,19/03/2020,1044,313,37,42,27
CL,19/03/2020,1147,370,69,43,37
CT,19/03/2020,3270,1002,33,82,150
CE,19/03/2020,5,0,0,0,0
VC,19/03/2020,1105,378,71,33,20
EX,19/03/2020,297,44,4,10,7
GA,19/03/2020,578,138,19,5,5
MD,19/03/2020,7165,6338,678,628,1186
ME,19/03/2020,24,5,1,0,0
MC,19/03/2020,204,47,11,0,1
NC,19/03/2020,554,172,19,5,1
PV,19/03/2020,1465,550,53,71,21
RI,19/03/2020,497,122,15,7,13
AN,20/03/2020,1515,605,53,40,36
AR,20/03/2020,424,192,33,22,0
AS,20/03/2020,486,133,12,5,16
IB,20/03/2020,246,60,14,4,11
CN,20/03/2020,348,139,29,7,7
CB,20/03/2020,215,92,9,2,11
CM,20/03/2020,1423,635,65,84,38
CL,20/03/2020,1466,575,85,55,54
CT,20/03/2020,4203,1681,298,122,150
CE,20/03/2020,5,0,0,0,0
VC,20/03/2020,1363,476,84,50,25
EX,20/03/2020,354,65,6,12,8
GA,20/03/2020,739,168,29,9,6
MD,20/03/2020,8921,7388,767,804,1542
ME,20/03/2020,25,8,1,0,0
MC,20/03/2020,240,61,14,1,1
NC,20/03/2020,664,222,25,9,1
PV,20/03/2020,1725,654,71,85,165
RI,20/03/2020,564,128,17,15,18
AN,21/03/2020,1725,724,55,47,38
AR,21/03/2020,532,241,45,24,3
AS,21/03/2020,545,171,15,8,20
IB,21/03/2020,331,79,14,4,17
CN,21/03/2020,414,150,32,9,7
CB,21/03/2020,282,116,9,5,11
CM,21/03/2020,1819,838,76,112,48
CL,21/03/2020,1744,709,106,74,89
CT,21/03/2020,4704,1681,298,191,150
CE,21/03/2020,5,0,0,0,0
VC,21/03/2020,1604,590,113,69,30
EX,21/03/2020,384,87,8,14,8
GA,21/03/2020,915,227,35,12,16
MD,21/03/2020,9702,8441,834,1021,1899
ME,21/03/2020,25,12,1,0,0
MC,21/03/2020,296,78,16,1,1
NC,21/03/2020,794,288,30,14,4
